BookID,STATE,SUBSTATE
174285,New Mexico,New Mexico
176660,Oregon,Oregon
140353,Arizona,Arizona
178378,New York,New York
128711,California,Orange
125646,Oregon,Oregon
175785,California,Santa Clara
100975,Hawaii,Hawaii
102624,South Carolina,South Carolina
106006,Louisiana,Louisiana
132710,Minnesota,Minnesota
137197,Maine,Maine
168282,Maryland,Maryland
165487,California,Los Angeles
118732,Maine,Maine
155357,Washington,Washington
163566,Massachusetts,Massachusetts
113611,New Jersey,New Jersey
119383,Texas,San Antonio
148525,Texas,Houston
136824,Missouri,Missouri
155949,North Carolina,North Carolina
158174,California,Los Angeles
149500,West Virginia,West Virginia
109510,Arkansas,Arkansas
123337,Florida,Miami
175551,Mississippi,Mississippi
155111,California,San Diego
154653,West Virginia,West Virginia
150403,Florida,Orlando
135735,Virginia,Virginia
102708,Mississippi,Mississippi
149074,South Carolina,South Carolina
140329,Kansas,Kansas
153178,Ohio,Ohio
111685,California,Orange
112938,Colorado,Colorado
162036,Nebraska,Nebraska
110435,Wisconsin,Wisconsin
109231,Minnesota,Minnesota
148537,Pennsylvania,Pennsylvania
124534,Texas,Houston
117204,Wisconsin,Wisconsin
164890,Texas,Houston
156078,Mississippi,Mississippi
144069,North Carolina,North Carolina
166736,Michigan,Michigan
113187,Virginia,Virginia
175029,Florida,Orlando
149333,Nebraska,Nebraska
103098,Puerto Rico,Puerto Rico
137625,California,Santa Clara
165777,Nevada,Nevada
134977,Oregon,Oregon
159053,North Carolina,North Carolina
140977,California,Santa Clara
161376,California,San Diego
142428,Arizona,Arizona
135441,Virginia,Virginia
111321,California,Orange
141956,California,Los Angeles
169208,Florida,Miami
103156,Delaware,Delaware
154718,Minnesota,Minnesota
107407,Arizona,Arizona
171827,Florida,Miami
129210,Florida,Miami
111925,West Virginia,West Virginia
160571,California,Los Angeles
143329,Hawaii,Hawaii
179141,Hawaii,Hawaii
109422,California,Alameda
165850,New Hampshire,New Hampshire
115221,Georgia,Georgia
161697,Illinois,Illinois
145331,Illinois,Illinois
120377,New York,New York
158500,Massachusetts,Massachusetts
156683,New Hampshire,New Hampshire
161376,Hawaii,Hawaii
138786,California,Los Angeles
105620,Alabama,Alabama
114859,Minnesota,Minnesota
158732,California,Alameda
102771,Virginia,Virginia
130472,Texas,San Antonio
148897,Indiana,Indiana
102554,Texas,Houston
142428,New York,New York
140896,California,San Diego
157213,New Jersey,New Jersey
128570,Georgia,Georgia
122114,Nevada,Nevada
101738,West Virginia,West Virginia
167655,Kentucky,Kentucky
173593,Maryland,Maryland
158665,Arkansas,Arkansas
147915,North Carolina,North Carolina
154059,Delaware,Delaware
144878,Pennsylvania,Pennsylvania
162455,New Mexico,New Mexico
168667,New Mexico,New Mexico
162336,California,Los Angeles
141479,Georgia,Georgia
154621,Massachusetts,Massachusetts
162785,Texas,Houston
131233,Texas,Houston
118327,Puerto Rico,Puerto Rico
171183,Utah,Utah
111242,Michigan,Michigan
117386,Colorado,Colorado
136147,Iowa,Iowa
143643,California,San Bernardino
174194,Maryland,Maryland
130512,California,Santa Clara
147519,Virginia,Virginia
178342,Utah,Utah
145249,North Carolina,North Carolina
124980,Kentucky,Kentucky
177181,Kentucky,Kentucky
109102,Mississippi,Mississippi
119926,Georgia,Georgia
152190,California,Riverside
118964,Massachusetts,Massachusetts
140088,Colorado,Colorado
179153,California,San Bernardino
120338,Colorado,Colorado
176827,Georgia,Georgia
155158,Oregon,Oregon
169243,Georgia,Georgia
111383,Texas,San Antonio
142090,Massachusetts,Massachusetts
141479,Hawaii,Hawaii
109643,New Jersey,New Jersey
167597,California,San Diego
134428,Maine,Maine
109297,Delaware,Delaware
140138,Illinois,Illinois
143511,Arizona,Arizona
168178,Puerto Rico,Puerto Rico
177105,Florida,Miami
111155,Massachusetts,Massachusetts
148397,Minnesota,Minnesota
138681,Oregon,Oregon
158798,Pennsylvania,Pennsylvania
162304,California,Santa Clara
155401,New Mexico,New Mexico
