BookID,UserID,TIMESTAMP,SUBSTATE,WeekofYear
140361,608502,2018-02-19 13:29:21,Santa Clara,201808
118603,673204,2018-09-13 18:40:04,San Diego,201837
170523,641650,2018-07-05 00:48:14,Oklahoma,201827
111924,619531,2018-06-22 21:53:19,Orlando,201825
178056,628661,2018-02-20 18:28:27,Orange,201808
112488,622287,2018-09-01 03:08:18,Hawaii,201835
102767,616482,2018-03-31 12:42:42,Houston,201813
106620,653094,2018-06-10 21:13:21,Georgia,201823
129631,646225,2018-03-11 03:41:11,Los Angeles,201810
131877,626864,2018-09-12 19:03:32,Orlando,201837
122740,608550,2018-06-04 23:01:28,Mississippi,201823
178261,630815,2018-01-29 21:18:59,San Diego,201805
118564,609462,2017-12-15 21:02:52,Riverside,201750
169501,623120,2018-03-08 14:53:27,Georgia,201810
147734,672182,2018-01-10 17:35:37,Houston,201802
146503,630676,2018-02-03 02:03:43,Connecticut,201805
120402,644478,2018-03-19 19:07:36,Houston,201812
162671,652052,2018-04-13 22:05:02,Houston,201815
135629,605753,2018-02-12 20:43:03,San Diego,201807
139213,616228,2018-03-14 21:11:01,Orange,201811
143688,645021,2018-06-29 04:36:49,San Diego,201826
158772,606663,2018-01-14 03:15:55,Santa Clara,201802
117918,646377,2018-04-12 03:35:12,San Antonio,201815
179544,642683,2018-08-23 02:45:04,Houston,201834
170816,612089,2018-08-26 02:23:23,Pennsylvania,201834
153676,665788,2018-05-02 20:41:59,Alameda,201818
162546,656765,2018-09-07 14:53:26,Houston,201836
133160,614238,2017-12-15 21:52:28,Orange,201750
109177,609178,2018-03-08 21:39:08,Los Angeles,201810
176625,669253,2018-07-03 18:04:28,Illinois,201827
122617,668161,2018-07-27 00:54:57,San Antonio,201830
132893,617128,2018-04-17 22:07:16,San Diego,201816
117405,636034,2018-02-15 02:33:31,Santa Clara,201807
163123,600226,2018-07-24 15:51:33,San Diego,201830
120507,600028,2017-12-22 23:28:27,Idaho,201751
106620,654917,2018-06-13 04:57:46,Georgia,201824
179181,612297,2018-05-02 03:16:56,Orange,201818
106792,670400,2018-02-12 18:17:10,San Bernardino,201807
128502,665863,2018-08-13 19:59:51,Nevada,201833
179460,618890,2018-05-10 21:32:54,Riverside,201819
118603,628995,2018-09-14 06:55:36,San Diego,201837
120467,651409,2018-05-24 02:11:35,Los Angeles,201821
107472,631757,2017-12-23 17:29:58,San Antonio,201751
178261,637343,2018-01-18 15:55:11,San Diego,201803
128502,620666,2018-08-11 16:22:05,Riverside,201832
117856,640880,2018-01-02 21:21:59,Riverside,201801
157022,664726,2018-03-11 06:16:20,Los Angeles,201810
123467,617185,2018-05-01 20:43:25,Alameda,201818
163566,655043,2018-06-09 04:22:17,San Antonio,201823
136450,613825,2018-02-04 15:53:49,Santa Clara,201805
153352,661809,2018-06-29 04:21:42,Massachusetts,201826
154804,625772,2018-05-27 15:29:54,North Carolina,201821
132681,658627,2018-08-07 15:27:58,Los Angeles,201832
125901,601613,2018-04-15 17:58:49,San Antonio,201815
121646,605532,2018-02-09 20:36:13,Orange,201806
138331,662789,2018-08-11 14:59:30,San Antonio,201832
165478,637384,2018-08-20 21:34:57,Ohio,201834
165487,612015,2018-07-30 21:58:51,Minnesota,201831
130373,666819,2018-02-22 00:43:16,Michigan,201808
175336,612094,2018-02-01 02:52:17,San Diego,201805
137765,667421,2018-05-26 11:10:01,Miami,201821
134971,643989,2018-06-01 18:20:32,Los Angeles,201822
119424,649920,2018-08-26 01:24:06,Michigan,201834
178186,603464,2018-01-04 20:07:24,Virginia,201801
112924,672033,2018-07-19 17:29:22,Ohio,201829
125832,656917,2018-08-05 23:32:53,Los Angeles,201831
170816,629317,2018-08-25 20:02:24,Houston,201834
160742,625973,2018-04-15 16:51:59,San Bernardino,201815
136690,617030,2018-04-13 19:16:12,Wisconsin,201815
156981,630348,2017-12-14 21:28:36,New York,201750
149074,657503,2018-04-10 16:36:27,San Antonio,201815
166624,641076,2018-05-16 15:08:56,Santa Clara,201820
163893,614146,2018-06-18 19:05:34,San Diego,201825
178238,641691,2018-08-21 07:15:48,New York,201834
106808,645881,2018-01-26 11:53:19,San Diego,201804
127193,673105,2018-07-15 00:42:24,Illinois,201828
136063,650536,2018-04-14 15:11:06,San Diego,201815
