UserID,SIGNUPDATE,DELETED,AGEGROUP,GENDER,STATE
600003,2018-09-07 01:29:02,,28.0,FEMALE,
600008,2017-11-02 20:33:20,,43.0,MALE,
600011,2017-11-21 02:03:30,,35.0,MALE,
600017,2018-02-13 12:21:22,2018-08-06 15:36:27,27.0,MALE,Massachusetts
600020,2017-11-13 22:29:13,,53.0,MALE,Pennsylvania
600028,2017-06-04 06:19:44,,33.0,FEMALE,Pennsylvania
600031,2017-10-07 23:26:25,,60.0,MALE,California
600038,2017-12-01 18:29:05,,50.0,FEMALE,Indiana
600043,2017-08-07 02:20:05,,38.0,FEMALE,Georgia
600046,2017-06-29 20:03:11,,41.0,FEMALE,New York
600052,2017-11-07 02:44:08,,42.0,FEMALE,
600057,2018-06-03 02:25:59,,20.0,FEMALE,
600061,2017-10-11 04:55:01,,37.0,FEMALE,Delaware
600068,2017-06-28 20:13:57,,41.0,FEMALE,Delaware
600072,2018-08-20 03:00:30,,49.0,FEMALE,
600079,2018-09-21 20:33:30,,53.0,FEMALE,
600081,2017-10-11 04:08:05,,23.0,FEMALE,
600089,2017-11-03 17:22:47,,33.0,FEMALE,Pennsylvania
600090,2017-05-14 03:36:00,,50.0,MALE,North Carolina
600099,2017-04-16 15:31:23,,27.0,MALE,Georgia
600102,2018-04-01 20:56:17,,32.0,MALE,
600105,2018-02-02 10:58:59,,34.0,MALE,
600114,2017-04-28 15:22:20,,48.0,FEMALE,Ohio
600115,2018-09-04 00:13:49,,63.0,MALE,
600122,2017-12-06 01:39:07,2018-05-16 02:14:47,39.0,MALE,New York
600126,2018-08-27 20:23:27,,30.0,MALE,
600133,2017-06-14 12:57:18,,37.0,FEMALE,Indiana
600139,2018-01-29 12:53:03,,35.0,MALE,Michigan
600141,2018-03-08 16:52:13,,32.0,MALE,
600146,2017-04-28 15:35:20,,31.0,MALE,North Carolina
600152,2018-09-07 00:35:51,,37.0,MALE,Ohio
600158,2018-01-29 21:57:59,,33.0,MALE,North Carolina
600162,2017-05-24 05:22:32,,47.0,FEMALE,Louisiana
600169,2017-06-29 15:57:29,,37.0,FEMALE,Washington
600174,2017-12-06 16:19:05,,22.0,FEMALE,Arizona
600175,2018-01-18 18:14:28,,45.0,MALE,Illinois
600182,2017-06-10 03:58:25,,31.0,FEMALE,California
600188,2018-08-09 03:31:50,,71.0,MALE,
600193,2017-05-25 00:09:30,,70.0,MALE,Ohio
600199,2017-10-22 12:13:55,,34.0,FEMALE,Kentucky
600203,2018-07-26 01:38:18,,57.0,MALE,Missouri
600209,2018-05-27 02:51:21,,60.0,MALE,
600211,2017-10-28 16:12:39,,71.0,MALE,California
600216,2018-01-21 16:39:04,,68.0,MALE,Florida
600222,2017-10-29 14:54:03,,50.0,MALE,New York
600226,2017-05-29 19:54:17,,29.0,MALE,California
600233,2017-10-26 22:13:53,,39.0,MALE,Florida
600236,2018-09-25 05:03:24,,41.0,MALE,
600242,2018-07-09 15:03:01,,50.0,FEMALE,
